139-28-4313    115     2355.00
706-02-6945    135     2123.00
595-74-5767    143    10046.00
972-87-1379    155    16503.00
814-50-7178    162     1808.00
632-72-6766    182     5524.00
699-77-2796    191     4315.00
814-77-4491    192     3836.00
265-40-8305    208      979.00
940-32-8944    211     3349.00
400-19-8435    214     8932.00
794-00-0659    219     4937.00
909-38-6694    220     5965.00
495-33-4989    229     5042.00
353-78-2979    238     5754.00
169-57-3539    249     6407.00
713-79-2241    264     8620.00
016-92-4542    266     2926.00
302-52-0390    271     2168.00
050-44-5987    276    32776.00
430-00-7434    282    10295.00
935-88-9835    300    13821.00
008-41-1683    301     6582.00
262-24-2379    314     7393.00
059-96-0121    332     2364.00
541-30-5692    341     1466.00
246-75-8770    356     8985.00
484-86-7987    361     4031.00
921-96-7973    376     5738.00
602-90-2297    379     3900.00
881-80-3386    380    11252.00
645-86-7907    395    18515.00
887-60-6792    415     2996.00
973-40-7961    431     1218.00
024-13-2629    439     2754.00
992-07-5363    447     2061.00
845-40-4968    466    10334.00
526-11-5286    482     7424.00
340-25-3417    502     6131.00
021-66-6171    515     9970.00
236-87-3487    522    39705.00
918-00-7767    532     8066.00
276-69-3568    546     5401.00
549-07-8738    554     1610.00
283-86-4227    573     2422.00
